epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5683.27,0.75093,0.4543,0.89556,0.93414,0.8659,0.93805,0.70885,0.71811,0.40516,0.88622,0.000577311,0.000577311,0.000577311
70,5763.11,0.75013,0.4573,0.898,0.91673,0.88397,0.93763,0.70835,0.71711,0.40648,0.88606,0.00056704,0.00056704,0.00056704
71,5842.95,0.74795,0.45362,0.89466,0.92907,0.86553,0.94089,0.70642,0.71687,0.40501,0.88597,0.000556742,0.000556742,0.000556742
72,5923.03,0.74666,0.45168,0.89633,0.92959,0.87315,0.93881,0.71045,0.70947,0.39951,0.88467,0.000546421,0.000546421,0.000546421
73,6002.94,0.74225,0.44798,0.89303,0.92912,0.8726,0.9423,0.7123,0.71053,0.40181,0.88474,0.000536081,0.000536081,0.000536081
74,6084.19,0.74138,0.44713,0.89149,0.92603,0.88569,0.94248,0.71802,0.70348,0.39907,0.88199,0.000525728,0.000525728,0.000525728
75,6165.09,0.73815,0.4467,0.89053,0.93506,0.88586,0.94444,0.71451,0.70555,0.39924,0.88258,0.000515366,0.000515366,0.000515366
76,6245.21,0.73384,0.44419,0.89323,0.93187,0.88959,0.94442,0.71608,0.70856,0.39997,0.88444,0.000505,0.000505,0.000505
77,6325.42,0.73398,0.44326,0.89098,0.92596,0.88426,0.94174,0.7146,0.70615,0.39979,0.88378,0.000494634,0.000494634,0.000494634
78,6405.5,0.72799,0.44136,0.88884,0.92576,0.8913,0.94331,0.71724,0.70421,0.39605,0.88193,0.000484272,0.000484272,0.000484272
79,6485.72,0.72886,0.44,0.88827,0.92792,0.88699,0.94278,0.71522,0.69996,0.39305,0.88059,0.000473919,0.000473919,0.000473919
80,6566.02,0.72719,0.44065,0.89007,0.93592,0.88159,0.94396,0.71735,0.69818,0.39382,0.88126,0.000463579,0.000463579,0.000463579
81,6646.14,0.71185,0.42864,0.88218,0.939,0.87691,0.94298,0.7142,0.69927,0.39504,0.88174,0.000453258,0.000453258,0.000453258
82,6726.83,0.72214,0.43644,0.88756,0.93958,0.88141,0.94359,0.71829,0.69685,0.39348,0.88089,0.00044296,0.00044296,0.00044296
83,6810.55,0.71433,0.42923,0.88374,0.93619,0.88847,0.94272,0.71867,0.69255,0.39137,0.88001,0.000432689,0.000432689,0.000432689
84,6895.63,0.70949,0.42581,0.88369,0.93826,0.88449,0.94434,0.71996,0.69127,0.38824,0.87897,0.000422449,0.000422449,0.000422449
85,6980.67,0.71037,0.42898,0.88591,0.93283,0.89023,0.94568,0.72575,0.68978,0.38761,0.87851,0.000412246,0.000412246,0.000412246
86,7065.79,0.71194,0.42889,0.88454,0.93496,0.89085,0.9466,0.72336,0.68849,0.38616,0.8777,0.000402084,0.000402084,0.000402084
87,7151.21,0.70962,0.42908,0.88443,0.93774,0.88319,0.94571,0.72707,0.68485,0.3847,0.87624,0.000391966,0.000391966,0.000391966
88,7237.61,0.70477,0.42402,0.88216,0.93568,0.89448,0.94604,0.72883,0.68522,0.38562,0.87601,0.000381899,0.000381899,0.000381899
89,7323.93,0.70301,0.42136,0.88171,0.93126,0.89708,0.94594,0.72644,0.68177,0.38517,0.87624,0.000371885,0.000371885,0.000371885
90,7409.5,0.69983,0.42008,0.88133,0.93143,0.8932,0.9453,0.72814,0.68222,0.38511,0.87575,0.000361929,0.000361929,0.000361929
91,7494.14,0.69656,0.41833,0.87908,0.94503,0.89075,0.94562,0.72536,0.68139,0.3841,0.87572,0.000352037,0.000352037,0.000352037
92,7579.02,0.69063,0.41525,0.87752,0.92711,0.90117,0.94569,0.72778,0.68013,0.38155,0.87611,0.000342211,0.000342211,0.000342211
93,7667.63,0.69746,0.41654,0.87869,0.9288,0.89904,0.94637,0.72996,0.67825,0.38157,0.87558,0.000332457,0.000332457,0.000332457
94,7752.53,0.69003,0.41581,0.87824,0.94712,0.8876,0.94678,0.72963,0.67739,0.38249,0.87573,0.000322778,0.000322778,0.000322778
95,7837.77,0.68938,0.41194,0.8764,0.94627,0.88237,0.94816,0.73113,0.6757,0.38335,0.87526,0.00031318,0.00031318,0.00031318
96,7920.36,0.68488,0.4136,0.87518,0.94312,0.8828,0.94954,0.72965,0.67467,0.38252,0.87515,0.000303665,0.000303665,0.000303665
97,8001.54,0.6827,0.40916,0.87498,0.93059,0.89989,0.94855,0.73076,0.67419,0.38117,0.87444,0.000294239,0.000294239,0.000294239
98,8082.52,0.68394,0.41094,0.87543,0.93992,0.89299,0.94861,0.7308,0.67528,0.38177,0.87477,0.000284906,0.000284906,0.000284906
99,8163.53,0.67541,0.40389,0.87291,0.93966,0.89189,0.94938,0.72979,0.67329,0.38137,0.87414,0.000275668,0.000275668,0.000275668
100,8244.45,0.67511,0.40522,0.87261,0.94616,0.89268,0.94978,0.72965,0.67198,0.37874,0.87351,0.000266532,0.000266532,0.000266532
101,8325.54,0.67826,0.40653,0.87394,0.9486,0.88462,0.94877,0.72998,0.67039,0.37932,0.8731,0.0002575,0.0002575,0.0002575
102,8406.72,0.67048,0.40388,0.87322,0.94609,0.89581,0.95133,0.73257,0.67073,0.38003,0.87324,0.000248577,0.000248577,0.000248577
103,8488.15,0.67514,0.40463,0.87446,0.95154,0.88942,0.95074,0.73177,0.66985,0.37989,0.87312,0.000239766,0.000239766,0.000239766
104,8574.3,0.66353,0.39774,0.87012,0.94032,0.90378,0.9505,0.73448,0.66917,0.37907,0.87268,0.000231071,0.000231071,0.000231071
105,8659.2,0.66807,0.3999,0.87338,0.93538,0.90755,0.95091,0.73332,0.66814,0.37814,0.87239,0.000222497,0.000222497,0.000222497
106,8745.05,0.67249,0.40332,0.87405,0.94197,0.89977,0.95115,0.73515,0.66632,0.37703,0.87177,0.000214046,0.000214046,0.000214046
107,8830.41,0.66572,0.40003,0.87314,0.9432,0.89981,0.94949,0.73383,0.66725,0.37738,0.87141,0.000205723,0.000205723,0.000205723
108,8915.07,0.66653,0.40008,0.87075,0.94666,0.89796,0.94925,0.73371,0.66721,0.37691,0.8711,0.000197532,0.000197532,0.000197532
109,8999.54,0.65647,0.39359,0.86699,0.93753,0.9077,0.94913,0.73564,0.6649,0.37622,0.8707,0.000189475,0.000189475,0.000189475
110,9084.27,0.65733,0.39184,0.86833,0.93845,0.90503,0.94915,0.73502,0.66463,0.37618,0.87067,0.000181557,0.000181557,0.000181557
111,9168.43,0.65279,0.39167,0.86705,0.93739,0.90644,0.94861,0.73573,0.66363,0.37538,0.87051,0.00017378,0.00017378,0.00017378
112,9252.92,0.64674,0.3887,0.86657,0.93957,0.90553,0.94946,0.73636,0.66235,0.37481,0.87023,0.000166149,0.000166149,0.000166149
113,9338.49,0.65634,0.39379,0.86747,0.93913,0.90751,0.94911,0.73589,0.66243,0.37503,0.87036,0.000158667,0.000158667,0.000158667
114,9423.59,0.64838,0.38899,0.86509,0.9409,0.90268,0.9488,0.73816,0.66312,0.37419,0.87068,0.000151336,0.000151336,0.000151336
115,9508.57,0.6468,0.38786,0.86694,0.93568,0.90425,0.94978,0.73883,0.66353,0.37401,0.87071,0.000144161,0.000144161,0.000144161
116,9593.92,0.65585,0.39191,0.86798,0.93305,0.90811,0.94879,0.73719,0.66361,0.37406,0.87053,0.000137143,0.000137143,0.000137143
117,9678.87,0.64748,0.38717,0.86752,0.93286,0.90759,0.94911,0.73681,0.66369,0.37421,0.87042,0.000130287,0.000130287,0.000130287
118,9763.28,0.64474,0.38523,0.86505,0.93712,0.90521,0.95022,0.73694,0.66251,0.37408,0.87017,0.000123596,0.000123596,0.000123596
119,9848.1,0.64577,0.3863,0.86542,0.93131,0.90694,0.95005,0.73859,0.66087,0.37333,0.86976,0.000117072,0.000117072,0.000117072
120,9932.72,0.63777,0.38292,0.86324,0.92866,0.9088,0.94976,0.73792,0.6595,0.37291,0.86953,0.000110718,0.000110718,0.000110718
121,10018,0.6368,0.38091,0.86498,0.93478,0.89906,0.94729,0.73795,0.65833,0.37279,0.86966,0.000104537,0.000104537,0.000104537
122,10102.8,0.63575,0.37873,0.86356,0.93404,0.90122,0.94817,0.73843,0.65771,0.37259,0.86953,9.85311e-05,9.85311e-05,9.85311e-05
123,10189.5,0.6302,0.37895,0.86208,0.93634,0.90033,0.94847,0.73943,0.65781,0.37244,0.86966,9.2704e-05,9.2704e-05,9.2704e-05
124,10276.4,0.63282,0.37821,0.86147,0.93881,0.89867,0.94842,0.73822,0.65731,0.37215,0.86963,8.70577e-05,8.70577e-05,8.70577e-05
125,10361.6,0.63336,0.37949,0.8631,0.94086,0.89683,0.94847,0.73717,0.65708,0.37229,0.86969,8.15947e-05,8.15947e-05,8.15947e-05
126,10446.2,0.63653,0.38104,0.86217,0.93136,0.90458,0.94853,0.73697,0.65704,0.37262,0.86973,7.63174e-05,7.63174e-05,7.63174e-05
